,dong,quarter,pop_floating
711,강동구 강일동,20242,2717268
712,강동구 강일동,20242,2739021
713,강동구 고덕1동,20221,822647
714,강동구 고덕1동,20221,722762
715,강동구 고덕1동,20221,826741
716,강동구 고덕1동,20222,968371
717,강동구 고덕1동,20222,1264428
718,강동구 고덕1동,20222,1007091
719,강동구 고덕1동,20222,998658
720,강동구 고덕1동,20223,952836
721,강동구 고덕1동,20223,995084
722,강동구 고덕1동,20223,1014788
723,강동구 고덕1동,20223,994657
724,강동구 고덕1동,20224,964684
725,강동구 고덕1동,20231,890068
726,강동구 고덕1동,20231,887761
727,강동구 고덕1동,20231,1109635
728,강동구 고덕1동,20232,1059257
729,강동구 고덕1동,20232,1114108
730,강동구 고덕1동,20232,1083268
731,강동구 고덕1동,20232,1043933
732,강동구 고덕1동,20233,1024456
733,강동구 고덕1동,20233,1061437
734,강동구 고덕1동,20233,1079132
735,강동구 고덕1동,20233,1054895
736,강동구 고덕1동,20234,1017371
737,강동구 고덕1동,20241,980688
738,강동구 고덕1동,20241,918589
739,강동구 고덕1동,20241,1104593
740,강동구 고덕1동,20242,1092236
741,강동구 고덕1동,20242,1120072
742,강동구 고덕1동,20242,1078437
743,강동구 고덕1동,20242,1082486
744,강동구 고덕2동,20221,683232
745,강동구 고덕2동,20221,573770
746,강동구 고덕2동,20221,655984
747,강동구 고덕2동,20222,748813
748,강동구 고덕2동,20222,981047
749,강동구 고덕2동,20222,774364
750,강동구 고덕2동,20222,773515
751,강동구 고덕2동,20223,758145
752,강동구 고덕2동,20223,805250
753,강동구 고덕2동,20223,841411
754,강동구 고덕2동,20223,822470
755,강동구 고덕2동,20224,802845
756,강동구 고덕2동,20231,731394
757,강동구 고덕2동,20231,731926
758,강동구 고덕2동,20231,875944
759,강동구 고덕2동,20232,845799
760,강동구 고덕2동,20232,875836
761,강동구 고덕2동,20232,855048
762,강동구 고덕2동,20232,807231
763,강동구 고덕2동,20233,789691
764,강동구 고덕2동,20233,842122
765,강동구 고덕2동,20233,884597
766,강동구 고덕2동,20233,861253
767,강동구 고덕2동,20234,816313
768,강동구 고덕2동,20241,779162
769,강동구 고덕2동,20241,731553
770,강동구 고덕2동,20241,884771
771,강동구 고덕2동,20242,894422
772,강동구 고덕2동,20242,906947
773,강동구 고덕2동,20242,896169
774,강동구 고덕2동,20242,915056
775,강동구 길동,20221,3034444
776,강동구 길동,20221,2582290
