행정동명,연월,유입인구
서울특별시 강남구 도곡1동,2022년 08월,"2,138,756"
서울특별시 강남구 도곡1동,2022년 09월,"2,110,485"
서울특별시 강남구 도곡1동,2022년 10월,"2,184,462"
서울특별시 강남구 도곡1동,2022년 11월,"2,207,632"
서울특별시 강남구 도곡1동,2022년 12월,"2,204,043"
서울특별시 강남구 도곡1동,2023년 01월,"2,084,656"
서울특별시 강남구 도곡1동,2023년 02월,"2,091,741"
서울특별시 강남구 도곡1동,2023년 03월,"2,365,605"
서울특별시 강남구 도곡1동,2023년 04월,"2,235,850"
서울특별시 강남구 도곡1동,2023년 05월,"2,431,182"
서울특별시 강남구 도곡1동,2023년 06월,"2,416,371"
서울특별시 강남구 도곡1동,2023년 07월,"2,377,237"
서울특별시 강남구 도곡1동,2023년 08월,"2,342,442"
서울특별시 강남구 도곡1동,2023년 09월,"2,322,565"
서울특별시 강남구 도곡1동,2023년 10월,"2,424,754"
서울특별시 강남구 도곡1동,2023년 11월,"2,535,762"
서울특별시 강남구 도곡1동,2023년 12월,"2,515,552"
서울특별시 강남구 도곡1동,2024년 01월,"2,546,762"
서울특별시 강남구 도곡1동,2024년 02월,"2,337,419"
서울특별시 강남구 도곡1동,2024년 03월,"2,666,294"
서울특별시 강남구 도곡1동,2024년 04월,"2,649,245"
서울특별시 강남구 도곡1동,2024년 05월,"2,654,003"
서울특별시 강남구 도곡1동,2024년 06월,"2,556,924"
서울특별시 강남구 도곡1동,2024년 07월,"2,719,347"
서울특별시 강남구 도곡2동,2022년 01월,"1,350,208"
서울특별시 강남구 도곡2동,2022년 02월,"1,161,344"
서울특별시 강남구 도곡2동,2022년 03월,"1,356,420"
서울특별시 강남구 도곡2동,2022년 04월,"1,569,848"
서울특별시 강남구 도곡2동,2022년 05월,"1,978,855"
서울특별시 강남구 도곡2동,2022년 06월,"1,595,462"
서울특별시 강남구 도곡2동,2022년 07월,"1,590,105"
서울특별시 강남구 도곡2동,2022년 08월,"1,552,602"
서울특별시 강남구 도곡2동,2022년 09월,"1,581,821"
서울특별시 강남구 도곡2동,2022년 10월,"1,614,561"
서울특별시 강남구 도곡2동,2022년 11월,"1,616,327"
서울특별시 강남구 도곡2동,2022년 12월,"1,544,789"
서울특별시 강남구 도곡2동,2023년 01월,"1,426,842"
서울특별시 강남구 도곡2동,2023년 02월,"1,471,474"
서울특별시 강남구 도곡2동,2023년 03월,"1,792,582"
서울특별시 강남구 도곡2동,2023년 04월,"1,709,060"
서울특별시 강남구 도곡2동,2023년 05월,"1,723,573"
서울특별시 강남구 도곡2동,2023년 06월,"1,703,445"
서울특별시 강남구 도곡2동,2023년 07월,"1,680,122"
서울특별시 강남구 도곡2동,2023년 08월,"1,678,425"
서울특별시 강남구 도곡2동,2023년 09월,"1,676,328"
서울특별시 강남구 도곡2동,2023년 10월,"1,719,922"
서울특별시 강남구 도곡2동,2023년 11월,"1,640,521"
서울특별시 강남구 도곡2동,2023년 12월,"1,617,207"
서울특별시 강남구 도곡2동,2024년 01월,"1,616,291"
서울특별시 강남구 도곡2동,2024년 02월,"1,499,035"
서울특별시 강남구 도곡2동,2024년 03월,"1,799,789"
서울특별시 강남구 도곡2동,2024년 04월,"1,865,785"
서울특별시 강남구 도곡2동,2024년 05월,"1,833,143"
서울특별시 강남구 도곡2동,2024년 06월,"1,777,872"
서울특별시 강남구 도곡2동,2024년 07월,"1,813,315"
서울특별시 강남구 삼성1동,2022년 01월,"3,320,704"
서울특별시 강남구 삼성1동,2022년 02월,"2,853,838"
서울특별시 강남구 삼성1동,2022년 03월,"3,127,887"
서울특별시 강남구 삼성1동,2022년 04월,"3,573,478"
서울특별시 강남구 삼성1동,2022년 05월,"4,912,526"
서울특별시 강남구 삼성1동,2022년 06월,"4,103,291"
서울특별시 강남구 삼성1동,2022년 07월,"4,492,696"
서울특별시 강남구 삼성1동,2022년 08월,"4,079,341"
서울특별시 강남구 삼성1동,2022년 09월,"3,856,776"
서울특별시 강남구 삼성1동,2022년 10월,"3,958,263"
서울특별시 강남구 삼성1동,2022년 11월,"4,072,231"
서울특별시 강남구 삼성1동,2022년 12월,"4,328,301"
서울특별시 강남구 삼성1동,2023년 01월,"3,669,153"
서울특별시 강남구 삼성1동,2023년 02월,"3,806,510"
서울특별시 강남구 삼성1동,2023년 03월,"4,138,879"
서울특별시 강남구 삼성1동,2023년 04월,"3,941,738"
서울특별시 강남구 삼성1동,2023년 05월,"4,191,116"
서울특별시 강남구 삼성1동,2023년 06월,"4,105,764"
서울특별시 강남구 삼성1동,2023년 07월,"4,467,312"
서울특별시 강남구 삼성1동,2023년 08월,"4,333,621"
서울특별시 강남구 삼성1동,2023년 09월,"3,838,194"
서울특별시 강남구 삼성1동,2023년 10월,"3,876,196"
서울특별시 강남구 삼성1동,2023년 11월,"4,104,289"
서울특별시 강남구 삼성1동,2023년 12월,"4,240,432"
서울특별시 강남구 삼성1동,2024년 01월,"3,856,718"
서울특별시 강남구 삼성1동,2024년 02월,"3,655,357"
서울특별시 강남구 삼성1동,2024년 03월,"4,195,739"
서울특별시 강남구 삼성1동,2024년 04월,"3,926,165"
서울특별시 강남구 삼성1동,2024년 05월,"4,323,201"
서울특별시 강남구 삼성1동,2024년 06월,"4,113,419"
서울특별시 강남구 삼성1동,2024년 07월,"4,394,923"
서울특별시 강남구 삼성2동,2022년 01월,"2,060,415"
서울특별시 강남구 삼성2동,2022년 02월,"1,782,939"
서울특별시 강남구 삼성2동,2022년 03월,"2,010,883"
서울특별시 강남구 삼성2동,2022년 04월,"2,278,297"
서울특별시 강남구 삼성2동,2022년 05월,"2,935,062"
서울특별시 강남구 삼성2동,2022년 06월,"2,384,999"
서울특별시 강남구 삼성2동,2022년 07월,"2,456,030"
서울특별시 강남구 삼성2동,2022년 08월,"2,399,637"
서울특별시 강남구 삼성2동,2022년 09월,"2,380,840"
서울특별시 강남구 삼성2동,2022년 10월,"2,510,686"
서울특별시 강남구 삼성2동,2022년 11월,"2,573,821"
서울특별시 강남구 삼성2동,2022년 12월,"2,498,365"
서울특별시 강남구 삼성2동,2023년 01월,"2,325,524"
서울특별시 강남구 삼성2동,2023년 02월,"2,383,179"
서울특별시 강남구 삼성2동,2023년 03월,"2,720,589"
서울특별시 강남구 삼성2동,2023년 04월,"2,542,738"
서울특별시 강남구 삼성2동,2023년 05월,"2,614,035"
서울특별시 강남구 삼성2동,2023년 06월,"2,561,671"
서울특별시 강남구 삼성2동,2023년 07월,"2,610,301"
서울특별시 강남구 삼성2동,2023년 08월,"2,565,530"
서울특별시 강남구 삼성2동,2023년 09월,"2,427,226"
서울특별시 강남구 삼성2동,2023년 10월,"2,502,288"
서울특별시 강남구 삼성2동,2023년 11월,"2,568,252"
서울특별시 강남구 삼성2동,2023년 12월,"2,460,350"
서울특별시 강남구 삼성2동,2024년 01월,"2,532,177"
서울특별시 강남구 삼성2동,2024년 02월,"2,262,630"
서울특별시 강남구 삼성2동,2024년 03월,"2,569,002"
서울특별시 강남구 삼성2동,2024년 04월,"2,593,223"
서울특별시 강남구 삼성2동,2024년 05월,"2,647,393"
서울특별시 강남구 삼성2동,2024년 06월,"2,532,859"
서울특별시 강남구 삼성2동,2024년 07월,"2,657,031"
서울특별시 강남구 세곡동,2022년 01월,"1,455,490"
서울특별시 강남구 세곡동,2022년 02월,"1,291,211"
서울특별시 강남구 세곡동,2022년 03월,"1,454,479"
서울특별시 강남구 세곡동,2022년 04월,"1,627,054"
서울특별시 강남구 세곡동,2022년 05월,"2,113,969"
서울특별시 강남구 세곡동,2022년 06월,"1,665,474"
서울특별시 강남구 세곡동,2022년 07월,"1,707,041"
서울특별시 강남구 세곡동,2022년 08월,"1,646,572"
서울특별시 강남구 세곡동,2022년 09월,"1,672,715"
서울특별시 강남구 세곡동,2022년 10월,"1,730,125"
서울특별시 강남구 세곡동,2022년 11월,"1,684,608"
서울특별시 강남구 세곡동,2022년 12월,"1,641,720"
서울특별시 강남구 세곡동,2023년 01월,"1,553,448"
서울특별시 강남구 세곡동,2023년 02월,"1,554,864"
서울특별시 강남구 세곡동,2023년 03월,"1,851,418"
서울특별시 강남구 세곡동,2023년 04월,"1,785,655"
서울특별시 강남구 세곡동,2023년 05월,"1,846,245"
서울특별시 강남구 세곡동,2023년 06월,"1,790,375"
서울특별시 강남구 세곡동,2023년 07월,"1,794,152"
서울특별시 강남구 세곡동,2023년 08월,"1,785,296"
서울특별시 강남구 세곡동,2023년 09월,"1,779,944"
서울특별시 강남구 세곡동,2023년 10월,"1,851,055"
서울특별시 강남구 세곡동,2023년 11월,"1,784,665"
서울특별시 강남구 세곡동,2023년 12월,"1,745,865"
서울특별시 강남구 세곡동,2024년 01월,"1,711,619"
서울특별시 강남구 세곡동,2024년 02월,"1,578,608"
서울특별시 강남구 세곡동,2024년 03월,"1,840,800"
서울특별시 강남구 세곡동,2024년 04월,"1,839,058"
